epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4141,1.21854,3.2729,3.63893,1.47707,0,0.01589,0.66528,0.19221,0.12141,0.01524,0.59861,0.18815,0.14056,1.07832,2.94859,3.71213,1.46399,0,0.00025,0.00025,0.00025
2,29.9802,1.14294,2.18969,2.93471,1.37879,0,0.01341,0.72247,0.31219,0.1979,0.01204,0.61023,0.25146,0.15463,1.51154,3.35735,3.5374,1.81846,0,0.000504951,0.000504951,0.000504951
3,36.3306,1.16364,2.00104,2.40417,1.37367,0,0.91382,0.17726,0.36288,0.20859,0.91382,0.17726,0.35157,0.22609,1.49947,2.79907,3.17784,1.89514,0,0.000754754,0.000754754,0.000754754
4,42.5644,1.2112,2.02719,2.09453,1.41543,0,0.69457,0.33895,0.31208,0.12603,0.69526,0.3538,0.31895,0.16305,2.19669,4.00024,2.68263,2.75021,0,0.0009703,0.0009703,0.0009703
5,48.7978,1.17918,1.91673,1.92217,1.37032,0,0.51703,0.34243,0.39615,0.23878,0.53119,0.34329,0.3849,0.23331,1.77773,5.00774,2.4158,2.12538,0,0.0009604,0.0009604,0.0009604
6,55.0603,1.13339,1.89263,1.8131,1.36859,0,0.34532,0.36818,0.412,0.22715,0.3646,0.33483,0.36092,0.20609,1.63864,4.23063,2.05281,2.18082,0,0.0009505,0.0009505,0.0009505
7,61.277,1.12011,1.90984,1.71508,1.35618,0,0.76928,0.32284,0.4728,0.30691,0.77785,0.33673,0.46807,0.30566,1.34662,3.41302,1.88595,1.75744,0,0.0009406,0.0009406,0.0009406
8,67.5759,1.03554,1.78274,1.59355,1.26115,0,0.58601,0.35309,0.45751,0.26797,0.62727,0.36641,0.45093,0.27985,1.55121,2.34631,1.82199,1.97251,0,0.0009307,0.0009307,0.0009307
9,73.7812,1.06297,1.78818,1.54734,1.28599,0,0.52006,0.50387,0.52505,0.33817,0.51425,0.49693,0.51518,0.33347,1.35741,2.32937,1.97766,1.72815,0,0.0009208,0.0009208,0.0009208
10,80.0888,1.05391,1.8351,1.505,1.27129,0,0.70492,0.44686,0.5164,0.36508,0.69138,0.43005,0.47247,0.30109,1.45347,3.10348,1.69844,1.69597,0,0.0009109,0.0009109,0.0009109
11,86.3218,0.99974,1.63168,1.38388,1.27279,0,0.54265,0.53164,0.54084,0.35579,0.56029,0.51389,0.52686,0.34392,1.35906,2.54012,1.79472,1.71959,0,0.000901,0.000901,0.000901
12,92.5566,0.99853,1.65532,1.3363,1.23244,0,0.64142,0.46585,0.5245,0.3563,0.66085,0.4697,0.51783,0.33265,1.48292,2.17072,1.79921,1.83844,0,0.0008911,0.0008911,0.0008911
13,98.7411,1.02079,1.68222,1.37745,1.24039,0,0.45413,0.59342,0.44045,0.29702,0.45874,0.54374,0.43366,0.28943,1.33948,2.43574,1.98149,1.59226,0,0.0008812,0.0008812,0.0008812
14,105.01,0.94527,1.58839,1.33969,1.22074,0,0.46125,0.48838,0.49694,0.31732,0.54826,0.5029,0.50049,0.31018,1.53071,2.50452,1.85389,1.80951,0,0.0008713,0.0008713,0.0008713
15,111.21,1.00422,1.84287,1.29921,1.25892,0,0.54599,0.53509,0.54904,0.37087,0.56282,0.52503,0.5386,0.34636,1.24608,2.61929,1.44543,1.54004,0,0.0008614,0.0008614,0.0008614
16,117.483,0.97224,1.66995,1.26,1.21821,0,0.71989,0.50605,0.57145,0.40667,0.71645,0.50327,0.55617,0.39074,1.31224,2.11111,1.46953,1.62931,0,0.0008515,0.0008515,0.0008515
17,123.672,0.96243,1.50789,1.12706,1.21387,0,0.67656,0.53144,0.56233,0.40157,0.66071,0.52588,0.5437,0.38099,1.35027,2.53033,1.38234,1.62527,0,0.0008416,0.0008416,0.0008416
18,129.853,0.89159,1.62065,1.10488,1.17632,0,0.45933,0.50574,0.50581,0.35396,0.72573,0.4788,0.50723,0.34466,1.23736,2.50271,1.42915,1.60458,0,0.0008317,0.0008317,0.0008317
19,136.05,0.89995,1.46737,1.09212,1.19778,0,0.69268,0.53495,0.56713,0.39076,0.65394,0.52522,0.53672,0.38233,1.27567,1.94786,1.27182,1.66746,0,0.0008218,0.0008218,0.0008218
20,142.318,0.86742,1.46508,0.99535,1.16674,0,0.62677,0.53079,0.56473,0.37659,0.5953,0.50951,0.52082,0.3474,1.33495,2.18323,1.34779,1.62506,0,0.0008119,0.0008119,0.0008119
21,148.489,0.85958,1.42156,0.999,1.15701,0,0.72227,0.60032,0.63437,0.42701,0.71194,0.57637,0.61211,0.4136,1.34034,2.33359,1.22539,1.60757,0,0.000802,0.000802,0.000802
22,154.768,0.89292,1.42796,1.02842,1.16336,0,0.71193,0.58803,0.63506,0.445,0.72576,0.59145,0.63347,0.43473,1.29091,1.8928,1.27182,1.6245,0,0.0007921,0.0007921,0.0007921
23,161.118,0.89004,1.37605,1.08923,1.17745,0,0.6634,0.55917,0.61112,0.4313,0.66349,0.57109,0.59182,0.4254,1.27027,2.2443,1.33563,1.5345,0,0.0007822,0.0007822,0.0007822
24,167.52,0.87174,1.55338,1.00213,1.14822,0,0.69052,0.53935,0.56377,0.39365,0.67767,0.52888,0.54069,0.37046,1.28226,2.32359,1.37836,1.51654,0,0.0007723,0.0007723,0.0007723
25,173.666,0.83965,1.38284,0.9489,1.13529,0,0.82231,0.56529,0.63198,0.44558,0.81545,0.55974,0.62974,0.43111,1.38961,1.9115,1.39782,1.70544,0,0.0007624,0.0007624,0.0007624
26,180.076,0.85441,1.44084,0.91775,1.15305,0,0.75368,0.59683,0.64689,0.4593,0.77571,0.60377,0.64426,0.43847,1.14549,1.81936,1.20313,1.48835,0,0.0007525,0.0007525,0.0007525
27,186.309,0.8094,1.36082,0.89339,1.12899,0,0.80297,0.52463,0.6062,0.41833,0.83367,0.52959,0.59611,0.39843,1.27059,1.96777,1.37584,1.57711,0,0.0007426,0.0007426,0.0007426
28,192.654,0.806,1.36153,0.85108,1.11887,0,0.72795,0.60489,0.64203,0.45393,0.74038,0.61528,0.64982,0.44464,1.10767,1.87611,1.06606,1.42205,0,0.0007327,0.0007327,0.0007327
29,199.074,0.84692,1.43668,1.07559,1.13721,0,0.74718,0.61976,0.69237,0.46673,0.80972,0.63245,0.70587,0.46077,1.15005,1.82908,1.04266,1.44113,0,0.0007228,0.0007228,0.0007228
30,205.297,0.81331,1.37368,0.8557,1.11733,0,0.7527,0.59457,0.64437,0.42854,0.72074,0.58017,0.60819,0.41554,1.35164,1.89235,1.22515,1.68971,0,0.0007129,0.0007129,0.0007129
31,211.995,0.81439,1.34151,0.86046,1.12937,0,0.73985,0.61759,0.65295,0.47281,0.70307,0.58982,0.6159,0.43714,1.13671,1.77524,1.02663,1.46421,0,0.000703,0.000703,0.000703
32,218.498,0.77823,1.30218,0.80581,1.0995,0,0.61822,0.63013,0.64767,0.46838,0.62682,0.62192,0.6421,0.44996,1.07354,1.73639,1.11617,1.42668,0,0.0006931,0.0006931,0.0006931
33,225.034,0.79533,1.2975,0.78938,1.09252,0,0.64727,0.60272,0.64005,0.45284,0.65688,0.60862,0.63961,0.4404,1.18294,1.72585,1.18096,1.53535,0,0.0006832,0.0006832,0.0006832
34,231.851,0.76463,1.25975,0.79742,1.07388,0,0.60894,0.57652,0.59366,0.42789,0.60085,0.59457,0.58269,0.41424,1.23638,1.90315,1.27803,1.52895,0,0.0006733,0.0006733,0.0006733
35,239.052,0.77966,1.32106,0.78119,1.09217,0,0.68383,0.57189,0.62043,0.45995,0.6704,0.56224,0.61698,0.43698,1.15311,1.85799,1.14165,1.41259,0,0.0006634,0.0006634,0.0006634
36,245.617,0.75806,1.25912,0.76745,1.07905,0,0.71759,0.57576,0.65377,0.45507,0.7508,0.55785,0.65493,0.43778,1.15261,1.83926,1.06504,1.43025,0,0.0006535,0.0006535,0.0006535
37,251.914,0.76743,1.29076,0.78978,1.07812,0,0.79362,0.57438,0.62541,0.42985,0.78857,0.56443,0.61136,0.41626,1.10881,1.9853,1.12252,1.46301,0,0.0006436,0.0006436,0.0006436
38,258.241,0.74738,1.27254,0.75288,1.07051,0,0.78862,0.60678,0.67741,0.47575,0.81048,0.61372,0.69137,0.45439,1.12146,1.71547,1.04408,1.43238,0,0.0006337,0.0006337,0.0006337
39,264.471,0.76416,1.19532,0.75307,1.07665,0,0.71503,0.61649,0.66549,0.4614,0.71182,0.61371,0.66842,0.43076,1.11841,1.80799,1.03661,1.43748,0,0.0006238,0.0006238,0.0006238
40,270.726,0.73323,1.18806,0.75454,1.08804,0,0.70757,0.64576,0.66486,0.48486,0.80126,0.63665,0.68069,0.47676,1.10055,1.82089,1.08056,1.40301,0,0.0006139,0.0006139,0.0006139
41,276.955,0.82998,1.39057,0.75027,1.12361,0,0.86324,0.61106,0.71253,0.49862,0.86787,0.62786,0.72496,0.49083,1.10651,1.80959,0.99418,1.41244,0,0.000604,0.000604,0.000604
42,283.255,0.72161,1.20821,0.69398,1.05502,0,0.72762,0.59808,0.67498,0.48197,0.76833,0.63058,0.68787,0.48366,1.17575,1.81202,1.05105,1.44313,0,0.0005941,0.0005941,0.0005941
43,289.528,0.73089,1.2433,0.70228,1.06764,0,0.64609,0.56489,0.60195,0.4266,0.82135,0.54335,0.62219,0.41681,1.0896,1.85895,1.05514,1.40203,0,0.0005842,0.0005842,0.0005842
44,295.772,0.7243,1.13648,0.66038,1.05813,0,0.69994,0.6109,0.69218,0.4883,0.73966,0.62351,0.71067,0.4632,1.09812,1.88393,1.00839,1.38951,0,0.0005743,0.0005743,0.0005743
45,301.927,0.8379,1.41041,0.72452,1.30731,0,0.76278,0.62988,0.67912,0.49473,0.77558,0.63399,0.68715,0.48413,1.03078,1.89428,1.0114,1.32665,0,0.0005644,0.0005644,0.0005644
46,308.152,0.69484,1.22048,0.71317,1.07807,0,0.71981,0.69263,0.70388,0.50527,0.72508,0.69648,0.7092,0.49449,1.07043,1.85636,0.94004,1.38826,0,0.0005545,0.0005545,0.0005545
47,314.461,0.73433,1.21236,0.69882,1.07041,0,0.7173,0.66429,0.7103,0.52117,0.83406,0.6205,0.69463,0.48857,1.09448,1.93303,0.94099,1.41255,0,0.0005446,0.0005446,0.0005446
48,320.651,0.76675,1.17088,0.74676,1.12875,0,0.7314,0.6864,0.7166,0.50266,0.7222,0.68012,0.691,0.47127,1.1208,1.89018,0.99953,1.38888,0,0.0005347,0.0005347,0.0005347
49,326.949,0.67194,1.10993,0.64105,1.03912,0,0.79935,0.63837,0.72292,0.50964,0.81177,0.64253,0.72799,0.49017,1.08286,1.84262,0.9507,1.40699,0,0.0005248,0.0005248,0.0005248
50,333.365,0.68133,1.13811,0.64441,1.03858,0,0.77995,0.632,0.70263,0.49104,0.74454,0.65013,0.69333,0.46533,1.06209,1.93907,0.92127,1.38772,0,0.0005149,0.0005149,0.0005149
51,339.612,0.69461,1.18392,0.66869,1.0548,0,0.75199,0.6279,0.71094,0.51593,0.88483,0.5729,0.69325,0.48413,1.1306,1.88612,0.89715,1.44195,0,0.000505,0.000505,0.000505
52,346.061,0.68838,1.10547,0.65697,1.05368,0,0.71729,0.72043,0.72084,0.52251,0.8771,0.63799,0.70232,0.4934,1.08017,1.89361,0.90229,1.40606,0,0.0004951,0.0004951,0.0004951
53,352.245,0.72785,1.1458,0.66635,1.07734,0,0.64212,0.70147,0.6905,0.50092,0.72595,0.63826,0.69525,0.46794,1.02931,1.92744,0.95218,1.34936,0,0.0004852,0.0004852,0.0004852
54,358.531,0.70889,1.15155,0.67957,1.04688,0,0.68786,0.63476,0.68827,0.48011,0.77828,0.61863,0.69289,0.45811,1.136,2.05485,1.06062,1.44705,0,0.0004753,0.0004753,0.0004753
55,364.716,0.72908,1.19378,0.65898,1.11909,0,0.78809,0.619,0.68141,0.49738,0.78809,0.619,0.66947,0.47339,1.10356,1.7919,1.09438,1.38372,0,0.0004654,0.0004654,0.0004654
56,370.907,0.67139,1.077,0.58467,1.03092,0,0.69423,0.6607,0.66317,0.47236,0.70187,0.64919,0.67015,0.44799,1.09576,1.77573,0.99187,1.49487,0,0.0004555,0.0004555,0.0004555
57,377.09,0.6507,1.0984,0.61959,1.01257,0,0.7161,0.6934,0.69947,0.51413,0.77367,0.65105,0.70373,0.48845,1.05403,1.74876,0.98022,1.41511,0,0.0004456,0.0004456,0.0004456
58,383.354,0.66561,1.09741,0.60339,1.05767,0,0.76317,0.68832,0.74913,0.53432,0.86082,0.62239,0.74656,0.4945,1.04343,1.82753,0.94867,1.36178,0,0.0004357,0.0004357,0.0004357
59,389.56,0.63603,1.10127,0.57197,1.00908,0,0.80293,0.66271,0.75107,0.53897,0.86112,0.67465,0.75333,0.52318,1.025,1.65397,0.86043,1.34888,0,0.0004258,0.0004258,0.0004258
60,395.795,0.64697,1.09296,0.56624,1.02196,0,0.66484,0.7744,0.75622,0.53819,0.65747,0.76231,0.75306,0.51457,1.05911,1.72548,0.89831,1.38716,0,0.0004159,0.0004159,0.0004159
61,402.068,0.65278,1.1165,0.54958,1.01251,0,0.75376,0.69927,0.74609,0.54591,0.75206,0.67867,0.72482,0.50739,1.01038,1.77843,0.9621,1.29661,0,0.000406,0.000406,0.000406
62,408.348,0.63485,1.05188,0.54458,1.01308,0,0.75682,0.74239,0.723,0.53008,0.72996,0.72052,0.70678,0.49489,1.02857,1.89521,0.93799,1.31899,0,0.0003961,0.0003961,0.0003961
63,414.589,0.61687,1.02139,0.56066,0.9915,0,0.7847,0.6938,0.74922,0.55751,0.7782,0.68824,0.73095,0.5268,0.99472,1.82388,0.90237,1.31809,0,0.0003862,0.0003862,0.0003862
64,420.883,0.62577,1.00958,0.5491,1.01477,0,0.77695,0.63753,0.71038,0.52196,0.78173,0.64415,0.70874,0.504,1.03945,1.85035,0.92918,1.32966,0,0.0003763,0.0003763,0.0003763
65,427.171,0.62485,1.06109,0.54899,0.99769,0,0.75836,0.68268,0.71651,0.53155,0.74333,0.66903,0.70166,0.50284,1.05406,1.86425,0.90581,1.34403,0,0.0003664,0.0003664,0.0003664
66,433.398,0.62659,1.03637,0.52636,1.00316,0,0.81186,0.68608,0.75303,0.53998,0.80575,0.68052,0.73277,0.51659,1.03289,1.95933,0.88908,1.32057,0,0.0003565,0.0003565,0.0003565
67,439.646,0.69952,1.13195,0.7001,1.03558,0,0.78409,0.75133,0.77692,0.54412,0.7746,0.74264,0.76765,0.5269,1.07453,1.76906,0.87,1.34643,0,0.0003466,0.0003466,0.0003466
68,445.954,0.62135,1.01265,0.50968,0.99901,0,0.82046,0.61686,0.70564,0.51017,0.8225,0.61402,0.69611,0.48312,1.05491,1.73989,0.95399,1.35706,0,0.0003367,0.0003367,0.0003367
69,452.222,0.62868,1.01657,0.52041,1.00139,0,0.75457,0.66522,0.71604,0.53053,0.74377,0.64401,0.68185,0.49994,0.9763,1.72986,0.93345,1.26609,0,0.0003268,0.0003268,0.0003268
70,458.599,0.65585,1.14111,0.63405,1.04442,0,0.83796,0.63997,0.75767,0.55861,0.77741,0.68326,0.75394,0.52367,0.95562,1.75296,0.87998,1.26731,0,0.0003169,0.0003169,0.0003169
71,464.94,0.63204,1.00044,0.50136,1.02531,0,0.81299,0.68689,0.74877,0.56245,0.81299,0.68689,0.72549,0.50864,0.96692,1.86642,0.86754,1.318,0,0.000307,0.000307,0.000307
