epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1721,1.53461,3.61783,3.84179,1.63257,0,0.00179,0.40675,0.19498,0.11863,0.00196,0.63294,0.17746,0.13434,1.64375,3.61491,3.73616,1.98489,0,0.000225,0.000225,0.000225
2,51.9098,1.43767,2.89208,3.51714,1.48878,0,0.00315,0.76389,0.22737,0.13784,0.00195,0.46032,0.23442,0.18677,1.6659,4.81976,3.46618,1.97121,0,0.000457921,0.000457921,0.000457921
3,70.3718,1.45626,2.65373,3.14079,1.51668,0,0.00228,0.45437,0.22036,0.11847,0.0026,0.63889,0.20135,0.12355,1.90729,4.21221,3.49845,2.25752,0,0.00068614,0.00068614,0.00068614
4,87.4237,1.50153,2.57804,2.82987,1.54414,0,0.74797,0.16667,0.26872,0.16215,0.75,0.16288,0.25176,0.17945,1.68391,4.01121,3.11608,2.04956,0,0.000909656,0.000909656,0.000909656
5,104.621,1.59951,2.6756,2.7973,1.64398,0,0.94845,0.21445,0.2645,0.15206,0.94845,0.21445,0.2673,0.18763,1.76242,3.88077,2.8706,2.41098,0,0.00112847,0.00112847,0.00112847
6,122.11,1.49635,2.72532,2.60747,1.56039,0,0.60952,0.2996,0.27103,0.11017,0.42386,0.26389,0.23072,0.09402,2.17754,4.48316,3.12178,2.4542,0,0.00118812,0.00118812,0.00118812
7,138.972,1.4888,2.52951,2.5521,1.55892,0,0.70882,0.27183,0.326,0.13443,0.60516,0.24802,0.29372,0.14124,1.86202,4.28102,2.73707,2.14629,0,0.00117575,0.00117575,0.00117575
8,156.475,1.36969,2.37158,2.3061,1.49029,0,0.21414,0.4246,0.37218,0.21677,0.53485,0.32341,0.32986,0.24252,1.90184,4.09284,3.13496,2.04695,0,0.00116337,0.00116337,0.00116337
9,173.633,1.46303,2.40098,2.40709,1.52587,0,0.7666,0.23016,0.2822,0.13822,0.68569,0.22349,0.23379,0.18246,2.20737,4.282,2.98205,2.34429,0,0.001151,0.001151,0.001151
10,190.628,1.48552,2.33071,2.35568,1.55457,0,0.53454,0.31151,0.41976,0.23308,0.8362,0.2397,0.3926,0.25609,1.85256,3.97665,3.43117,2.03667,0,0.00113863,0.00113863,0.00113863
11,208.475,1.35677,2.33415,2.12344,1.49373,0,0.76047,0.25766,0.31094,0.19917,0.76047,0.25766,0.33647,0.22561,1.85872,3.99872,4.40983,2.19336,0,0.00112625,0.00112625,0.00112625
12,225.345,1.3919,2.22982,2.0498,1.49306,0,0.56477,0.35317,0.37763,0.21861,0.54826,0.39484,0.37959,0.22259,1.93284,3.48242,3.07181,2.12259,0,0.00111388,0.00111388,0.00111388
13,242.623,1.3124,2.20678,1.95842,1.46086,0,0.5931,0.43056,0.56272,0.23764,0.60014,0.41865,0.58604,0.27149,1.86048,3.70531,3.16478,2.10361,0,0.0011015,0.0011015,0.0011015
14,260.663,1.38215,2.19091,1.96944,1.46441,0,0.56744,0.31151,0.32449,0.18247,0.56744,0.31151,0.29887,0.17956,1.90741,3.84161,2.58532,2.06972,0,0.00108913,0.00108913,0.00108913
15,277.71,1.37715,2.2565,1.99428,1.45265,0,0.52181,0.34225,0.29954,0.18291,0.54671,0.38158,0.36663,0.20336,1.88862,3.66618,2.68067,2.05597,0,0.00107675,0.00107675,0.00107675
